Location,Number of bedrooms,Number of bathrooms,Square footage,Sale price
Beverly Hills,5,5,"3,200","$2,500,000"
Bel Air,5,6,"2,800","$3,500,000"
Beverly Hills,4,4,"1,600","$3,200,000"
Long Beach,2,1,"1,000","$850,000"
Irvine,2,1,"1,000","$780,000"
Downtown LA,5,5,"1,800","$1,775,000"
Huntington Beach,3,2,"1,100","$1,175,000"
Del Mar,3,4,"1,200","$1,150,000"
West Hollywood,3,2,"1,900","$1,625,000"
Hollywood Hills,8,9,"6,700","$10,450,000"
Irvine,3,4,"1,100","$870,000"
Silver Lake,2,2,"1,400","$1,200,000"
Brentwood,6,5,"3,700","$9,800,000"
Rancho Palos Verdes,2,3,"1,000","$670,000"
Koreatown,2,3,"1,000","$860,000"
Echo Park,4,3,"1,500","$1,150,000"
Mar Vista,4,4,"1,600","$1,800,000"
Encinitas,2,2,"1,300","$880,000"
Carlsbad,3,2,"1,200","$1,050,000"
West Hollywood,2,1,"1,100","$1,050,000"
Malibu,4,5,"2,900","$5,850,000"
Pasadena,3,3,"1,600","$1,350,000"
Santa Monica,4,4,"2,100","$3,250,000"
Venice,3,3,"1,500","$1,680,000"
La Jolla,5,5,"2,800","$3,950,000"
Beverly Hills,6,6,"4,100","$6,750,000"
Culver City,3,2,"1,400","$1,220,000"
Manhattan Beach,4,4,"2,300","$3,800,000"
Pacific Palisades,5,6,"3,400","$6,200,000"
Laguna Beach,7,7,"4,800","$9,300,000"
Newport Beach,4,5,"2,600","$4,450,000"
Torrance,3,2,"1,500","$1,050,000"
Redondo Beach,2,2,"1,200","$1,100,000"
Los Feliz,4,3,"1,900","$1,950,000"
Hermosa Beach,3,3,"1,700","$1,850,000"
Corona del Mar,5,5,"2,900","$4,600,000"
Westwood,3,3,"1,600","$1,680,000"
Century City,4,4,"1,800","$2,100,000"
Palos Verdes Estates,6,6,"3,800","$5,900,000"
San Diego,3,2,"1,400","$950,000"
Brentwood,5,5,"3,100","$5,400,000"
Malibu,6,7,"4,200","$8,950,000"
Beverly Hills,4,5,"2,400","$4,850,000"
La Jolla,3,3,"1,800","$2,150,000"
Santa Monica,5,5,"2,700","$4,200,000"
Pacific Palisades,4,4,"2,500","$4,600,000"
Huntington Beach,3,2,"1,400","$1,050,000"
Irvine,4,4,"1,900","$1,650,000"
Pasadena,3,3,"1,700","$1,450,000"
Newport Beach,5,6,"3,200","$5,100,000"
Laguna Beach,8,8,"5,600","$12,000,000"
San Diego,5,4,"1,800","$1,550,000"
Corona del Mar,4,5,"1,400","$1,550,000"
Pasadena,3,2,"1,500","$1,500,000"
Malibu,4,3,"2,100","$4,100,000"
Beverly Hills,4,4,"2,200","$3,950,000"
Bel Air,6,6,"4,000","$7,800,000"
Hollywood Hills,5,5,"3,300","$5,250,000"
Brentwood,4,4,"2,300","$4,200,000"
